batch_name,status,files_processed,success_rate,successful_files,failed_files,viable_anchors,template_title,duration_seconds,error_count,timestamp
1807 ATHENS RESILIENT CITY/1,failed,8,0.0,0,0,0,1807_02_LBL-Model,0.74,1,2025-10-17T11:22:30.621304
1807 ATHENS RESILIENT CITY/1807_02_LISTA_TEYXH,failed,5,0.0,0,0,0,1807_ΛΙΣΤΑ_ΣΧΕΔΙΩΝ-ΑΒ,0.27,1,2025-10-17T11:22:31.360936
1807 ATHENS RESILIENT CITY/1807_02_PDF,failed,14,0.0,0,0,0,1807_02_A010,0.01,1,2025-10-17T11:22:31.629269
1807 ATHENS RESILIENT CITY/2,failed,39,0.0,0,0,0,1807_02_T101-TΕΧΝΙΚΗ_ΕΚΘΕΣΗ_ΑΒ,11.0,1,2025-10-17T11:22:31.638239
1807 ATHENS RESILIENT CITY/20190702,failed,9,0.0,0,0,0,1807_04_Α401-402_ΟΨΕΙΣ_1_2,1.41,1,2025-10-17T11:22:42.637757
1807 ATHENS RESILIENT CITY/20190918,failed,9,0.0,0,0,0,1807_04_Α101,0.0,1,2025-10-17T11:22:44.049379
1807 ATHENS RESILIENT CITY/20191008_ΑΠΟΤΥΠΩΣΗ ΑΔΡΙΑΝΟΥ,failed,9,0.0,0,0,0,1807_04_Α101,0.0,1,2025-10-17T11:22:44.050281
1807 ATHENS RESILIENT CITY/20191009_ΠΡΟΜΕΛΕΤΗ,failed,7,0.0,0,0,0,1807_02_ΚΑΤΟΨΗ_ΟΡΟΦΟΥ-ΔΩΜΑΤΟΣ-ΠΡΟΤΑΣΗ_Α_B_,0.49,1,2025-10-17T11:22:44.050916
1807 ATHENS RESILIENT CITY/20191115_ΠΡΟΜΕΛΕΤΗ,failed,3,0.0,0,0,0,ΣΙΝΕΜΑ_ΑΒ_20191151_ΙΣΟΓΕΙΟ,0.0,1,2025-10-17T11:22:44.537712
1807 ATHENS RESILIENT CITY/20191127_ΠΡΟΜΕΛΕΤΗ,failed,3,0.0,0,0,0,ΣΙΝΕΜΑ_ΑΒ_20191127_ΙΣΟΓΕΙΟ,0.0,1,2025-10-17T11:22:44.538340
1807 ATHENS RESILIENT CITY/20200207,failed,19,0.0,0,0,0,1807_04_A010,0.0,1,2025-10-17T11:22:44.538736
1807 ATHENS RESILIENT CITY/20200226_REVISED ORISTIKH,failed,12,0.0,0,0,0,1807_02_A012,0.0,1,2025-10-17T11:22:44.540256
1807 ATHENS RESILIENT CITY/20200304 ΟΡΙΣΤΙΚΗ REVISED,failed,15,0.0,0,0,0,1807_04_T103_REVISED,0.0,1,2025-10-17T11:22:44.541260
1807 ATHENS RESILIENT CITY/20200313_REVISED ORISTIKH 02,failed,12,0.0,0,0,0,1807_02_A012_R02,0.01,1,2025-10-17T11:22:44.542503
1807 ATHENS RESILIENT CITY/20200604_ΚΟΚΚΕΡΕΛ,failed,41,0.0,0,0,0,1807_09_A115Β,0.01,1,2025-10-17T11:22:44.556349
1807 ATHENS RESILIENT CITY/20200710_ΚΟΚΚΕΡΕΛ REVISION,failed,16,0.0,0,0,0,1807_09_A111_R1,0.0,1,2025-10-17T11:22:44.562273
